Luminal_Macrophages,Type 2 alveolar,Fibroblasts,Dendritic cells
0.34722814,0.048073597,0.26970574,0.33499253
0.24634336,0.4394517,0.17117883,0.1430261
0.32611158,0.41244385,0.15644872,0.104995795
0.267423,0.20193066,0.2864203,0.24422605
0.2357741,0.15569791,0.29087862,0.31764942
0.108293094,0.28777266,0.31959707,0.28433716
0.34075636,0.2515536,0.18606134,0.22162873
0.34015313,0.28611815,0.28147626,0.092252456
0.28843898,0.09614575,0.49936733,0.116047956
0.5612829,0.032622807,0.19547468,0.21061963
0.16809623,0.31792894,0.3353183,0.17865655
0.03477239,0.28262907,0.28717074,0.39542785
0.23477077,0.28751886,0.28282064,0.19488971
0.41699085,0.2003409,0.15642719,0.22624102
0.28244635,0.055707015,0.4787997,0.18304697
0.35702622,0.22314958,0.02668537,0.3931388
0.17091925,0.41740525,0.35371262,0.057962846
0.36600956,0.20481227,0.35140175,0.0777764
0.13874695,0.33438972,0.19391362,0.33294973
0.025018321,0.6056902,0.09485031,0.27444115
0.08384831,0.43564564,0.4299685,0.05053749
0.15970048,0.3770303,0.35557827,0.10769095
0.040304657,0.6288628,0.29509535,0.035737194
0.030133253,0.31257287,0.43180507,0.22548883
0.08976814,0.3006908,0.10528295,0.50425816
0.33918768,0.14340615,0.26843926,0.24896692
0.07477124,0.092877984,0.7610246,0.07132623
0.42334348,0.2501045,0.031018741,0.29553333
0.3983622,0.18815131,0.19318138,0.2203051
0.10548614,0.19469002,0.15394363,0.5458802
0.345836,0.14365177,0.18728606,0.32322618
0.13370036,0.63365513,0.15759924,0.0750453
0.23557518,0.2968924,0.34248906,0.1250433
0.29390186,0.3525376,0.09651019,0.2570504
0.21912974,0.062475055,0.53426164,0.18413354
0.38397247,0.24550009,0.056920983,0.31360638
0.2814231,0.40257472,0.09797894,0.21802323
0.26770228,0.3391278,0.09894758,0.29422233
0.34330937,0.25655082,0.23518075,0.16495906
0.4433456,0.023342768,0.24096525,0.2923464
0.27620256,0.20949195,0.097682685,0.4166228
0.40710214,0.2931117,0.14914048,0.15064575
0.28532025,0.08716627,0.3389373,0.28857622
0.112353444,0.3484998,0.29853737,0.24060942
0.4263347,0.21640214,0.2804817,0.07678139
0.06664397,0.09748065,0.51640207,0.3194733
0.21067189,0.105875075,0.25064903,0.43280396
0.44880813,0.079786815,0.25096533,0.22043976
0.2822224,0.07315437,0.3089305,0.33569276
0.27851236,0.0982615,0.24912871,0.37409744
0.178684,0.3566147,0.31700477,0.14769654
0.13947387,0.33352816,0.3092519,0.21774608
0.29936102,0.23477194,0.25960544,0.20626159
0.3590734,0.26615995,0.19761181,0.17715484
0.42310703,0.048290003,0.28666344,0.24193956
0.19474405,0.030558232,0.40630677,0.368391
0.07190007,0.12780693,0.5341366,0.26615632
0.3643663,0.0922094,0.18189265,0.36153162
0.29113063,0.31132087,0.17192946,0.22561903
0.02592522,0.5446965,0.36716333,0.06221491
0.19179006,0.09089264,0.44902262,0.26829463
0.33579183,0.15980059,0.28843725,0.21597028
0.15916178,0.051109407,0.49686044,0.2928685
0.32235432,0.11349744,0.43918982,0.12495839
0.27908647,0.27943212,0.10530769,0.33617374
0.3285034,0.024453726,0.33620244,0.3108404
0.3585914,0.35673153,0.1083292,0.17634778
0.19091648,0.18588074,0.28789145,0.33531132
0.3109029,0.2935249,0.14978199,0.24579018
